# RNA expression levels in TPM (transcripts per million transcripts)
# At 0'..30' time points after rifampin inhibition of RNA synthesis
#
gene	class	0m	3m	6m	9m	12m	15m	18m	21m	24m	27m	30m
riyR	early	66.01	46.98	17.99	11.99	7.98	5.99	0.00	1.00	0.00	0.00	0.00
ivhD	middle	781.14	831.60	796.42	717.17	646.56	607.38	467.95	396.37	346.79	268.80	231.13
xwxN	early	151.03	82.96	35.97	21.97	9.98	3.00	2.00	1.00	0.00	1.00	0.00
quiW	middle	146.03	120.94	149.89	143.83	112.75	115.88	78.82	74.88	69.96	53.96	40.02
tpbK	early	137.02	129.94	93.93	90.90	58.87	42.96	24.94	22.96	22.99	10.99	10.01
omyP	early	7.00	4.00	2.00	2.00	2.00	1.00	0.00	0.00	0.00	1.00	0.00
gwbF	middle	28.01	37.98	34.97	28.97	22.95	28.97	27.94	30.95	23.99	22.98	18.01
zwcG	early	0.00	4.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
uehF	middle	36.01	37.98	25.98	22.97	17.96	9.99	8.98	4.99	7.00	4.00	2.00
beeA	early	22.00	11.99	6.00	1.00	2.00	0.00	0.00	1.00	0.00	0.00	0.00
vtbF	early	9.00	6.00	6.00	5.99	2.00	1.00	2.99	1.00	0.00	2.00	2.00
sdxM	early	5.00	4.00	2.00	3.00	1.00	3.00	2.00	1.00	1.00	1.00	0.00
bzsQ	middle	160.03	206.90	250.82	277.68	288.36	312.68	322.27	341.45	371.78	347.74	327.18
lcvN	early	14.00	3.00	5.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
xalV	early	15.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
yisN	middle	12.00	15.99	21.98	12.99	23.95	16.98	18.96	10.98	7.00	13.99	10.01
awcE	early	118.02	76.96	37.97	32.96	17.96	7.99	1.00	2.00	0.00	0.00	0.00
zqnE	early	48.01	35.98	32.98	25.97	18.96	16.98	6.98	5.99	1.00	3.00	4.00
gbrU	early	15.00	5.00	3.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00
xxaC	middle	10.00	8.00	11.99	8.99	8.98	7.99	5.99	7.99	2.00	4.00	1.00
ghfI	late	25.00	18.99	30.98	25.97	24.94	31.97	28.93	23.96	31.98	31.98	33.02
pftI	early	218.04	53.97	7.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
vivG	middle	1060.19	1208.42	1164.15	1237.58	1171.38	1136.84	1076.57	1001.40	931.44	819.40	731.41
pnfN	early	9.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
obcX	early	23.00	9.00	2.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
cltA	middle	99.02	114.94	149.89	143.83	130.71	142.85	120.73	132.79	136.92	140.90	106.06
ecvD	early	34.01	20.99	16.99	21.97	14.97	6.99	7.98	3.00	8.00	3.00	1.00
aavD	middle	8.00	9.00	5.00	3.00	7.98	11.99	11.97	11.98	6.00	6.00	7.00
cibZ	early	262.05	60.97	15.99	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
lxvX	early	109.02	62.97	25.98	14.98	4.99	4.00	0.00	0.00	0.00	0.00	1.00
tslY	early	11.00	5.00	6.00	3.00	3.99	2.00	1.00	0.00	0.00	2.00	0.00
pxcK	early	16.00	13.99	6.99	4.99	4.99	4.00	2.00	3.00	0.00	0.00	1.00
ekcE	early	221.04	175.92	137.90	101.88	60.86	38.96	28.93	14.98	10.99	5.00	8.00
hryV	early	85.02	39.98	28.98	9.99	5.99	4.99	1.00	1.00	2.00	1.00	0.00
mlmC	early	216.04	120.94	62.95	32.96	7.98	5.99	4.99	3.00	0.00	0.00	0.00
rcwW	early	71.01	63.97	58.96	31.96	27.94	20.98	15.96	13.98	4.00	11.99	3.00
jnlK	early	5.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hxlD	early	283.05	174.92	112.92	77.91	46.90	22.98	15.96	12.98	3.00	2.00	2.00
udeK	late	232.04	349.83	442.68	533.39	657.53	734.25	834.12	940.50	1049.37	1115.18	1235.69
uhxN	early	14.00	3.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
wvyO	middle	337.06	456.78	528.61	563.35	601.66	557.43	631.58	599.04	594.64	545.60	573.32
oqgP	middle	39.01	45.98	32.98	19.98	14.97	17.98	11.97	15.97	8.00	3.00	5.00
ypkF	early	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
edmN	early	155.03	71.97	16.99	9.99	2.99	3.00	0.00	0.00	0.00	0.00	0.00
jpcN	early	5.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
bfhI	middle	7.00	10.00	4.00	5.99	2.99	10.99	8.98	5.99	7.00	9.99	5.00
typP	middle	113.02	128.94	97.93	112.87	73.84	57.94	46.89	32.95	36.98	24.98	23.01
vwlH	early	248.04	181.91	143.89	80.91	62.86	44.95	28.93	13.98	10.99	6.00	2.00
nqhY	middle	2.00	7.00	5.00	3.00	1.00	2.00	6.98	0.00	2.00	1.00	1.00
byxD	middle	67.01	77.96	71.95	60.93	36.92	48.95	21.95	27.96	18.99	13.99	10.01
inhB	early	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
fztC	middle	36.01	37.98	37.97	26.97	36.92	31.97	27.94	18.97	14.99	20.98	19.01
qrdG	middle	3.00	5.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	1.00	0.00
nwmQ	early	722.13	389.81	201.85	111.87	52.88	23.98	11.97	5.99	3.00	1.00	0.00
rroT	early	72.01	70.97	45.97	39.95	26.94	23.98	8.98	5.99	5.00	2.00	3.00
sywF	early	31.01	19.99	6.99	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
uumJ	early	22.00	18.99	11.99	8.99	3.99	2.00	1.00	0.00	0.00	0.00	0.00
lwlQ	early	1564.28	1319.37	1031.24	720.17	474.94	389.60	240.46	146.77	103.94	67.95	34.02
tmiR	early	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
babO	early	38.01	13.99	8.99	2.00	2.99	0.00	1.00	0.00	0.00	0.00	0.00
oqkR	early	159.03	69.97	38.97	13.98	4.99	4.00	0.00	1.00	0.00	0.00	0.00
bwgZ	early	136.02	122.94	129.90	109.87	110.75	84.91	69.84	54.91	51.97	44.97	31.02
jhdL	early	93.02	81.96	79.94	85.90	67.85	68.93	55.87	33.95	27.98	22.98	17.01
fzfC	middle	120.02	119.94	144.89	168.81	146.67	155.84	139.69	133.79	123.93	113.92	96.05
bipS	middle	91.02	137.93	131.90	135.84	146.67	147.85	149.66	148.76	155.91	168.88	136.08
hecQ	early	417.07	304.85	256.81	161.81	122.73	65.93	37.91	25.96	13.99	9.99	4.00
tpjI	middle	34.01	34.98	33.98	41.95	37.92	32.97	36.92	33.95	25.98	25.98	29.02
qptZ	middle	120.02	133.94	151.89	182.79	238.47	237.76	222.50	239.62	273.84	287.79	279.16
elrH	early	57.01	33.98	17.99	5.99	5.99	1.00	1.00	0.00	2.00	0.00	0.00
bctT	early	17.00	3.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lumE	early	82.01	62.97	44.97	24.97	25.94	14.98	10.98	10.98	5.00	4.00	2.00
ifzH	early	387.07	368.82	314.77	281.68	234.48	187.81	153.65	115.81	100.94	73.95	70.04
cwdI	early	91.02	18.99	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rigR	early	42.01	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
zecY	early	8.00	8.00	4.00	1.00	2.99	1.00	0.00	0.00	0.00	0.00	0.00
bhrG	early	5.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ruaW	middle	42.01	49.98	44.97	32.96	37.92	18.98	38.91	21.96	24.99	18.99	12.01
sliK	early	9.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
smqT	middle	18.00	29.99	23.98	22.97	16.96	14.98	17.96	11.98	8.00	11.99	14.01
vshT	early	88.02	58.97	28.98	13.98	3.99	1.00	0.00	1.00	0.00	0.00	0.00
xbfA	early	96.02	62.97	48.96	57.93	45.90	28.97	23.95	16.97	10.99	9.99	5.00
eduV	early	107.02	71.97	64.95	30.96	22.95	11.99	9.98	3.00	2.00	2.00	1.00
dtmE	early	34.01	24.99	7.99	4.00	2.00	3.00	0.00	1.00	0.00	0.00	0.00
kkoF	early	20.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
fpdQ	middle	92.02	90.96	92.93	90.90	67.85	26.97	30.93	37.94	10.99	17.99	8.00
ttvC	early	70.01	30.99	18.99	10.99	3.99	1.00	0.00	0.00	0.00	0.00	0.00
xsjB	middle	2.00	1.00	1.00	1.00	2.99	1.00	1.00	2.00	0.00	0.00	0.00
dguZ	early	8.00	4.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ahcS	early	185.03	170.92	160.88	142.84	129.71	92.91	116.74	89.86	82.95	54.96	34.02
xjqA	early	134.02	95.95	83.94	38.96	29.93	22.98	14.97	7.99	5.00	5.00	3.00
becM	early	0.00	2.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
sbbW	early	38.01	19.99	23.98	22.97	18.96	11.99	13.97	8.99	5.00	6.00	1.00
jdnD	middle	13.00	10.00	24.98	14.98	12.97	15.98	19.96	14.98	6.00	7.99	12.01
qwcH	late	126.02	148.93	175.87	212.76	233.48	252.74	275.38	296.53	291.83	296.78	299.17
aupX	early	53.01	18.99	3.00	4.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00
kciY	early	19.00	12.99	6.99	6.99	2.99	5.99	5.99	0.00	2.00	0.00	1.00
vgkX	early	133.02	127.94	83.94	71.92	68.85	38.96	26.94	20.97	16.99	8.99	5.00
qsgJ	early	199.04	45.98	8.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
bpfG	middle	0.00	2.00	2.00	3.00	1.00	3.00	1.00	1.00	1.00	0.00	1.00
ougQ	middle	7.00	18.99	15.99	17.98	11.97	9.99	13.97	9.98	6.00	5.00	4.00
nduI	early	111.02	61.97	41.97	39.95	22.95	17.98	12.97	5.99	4.00	5.00	1.00
bhwX	middle	42.01	58.97	69.95	50.94	50.89	62.94	54.88	39.94	50.97	44.97	39.02
iwxD	early	24.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
zmqF	early	37.01	21.99	24.98	22.97	23.95	14.98	13.97	6.99	10.99	4.00	5.00
paqQ	early	34.01	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
udfM	early	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
necD	early	24.00	17.99	18.99	15.98	8.98	9.99	6.98	7.99	3.00	0.00	0.00
zazJ	early	391.07	390.81	364.73	281.68	279.38	199.80	190.57	147.76	111.93	99.93	62.03
tohK	middle	36.01	37.98	41.97	28.97	36.92	17.98	21.95	17.97	16.99	6.99	8.00
vioH	early	67.01	52.97	53.96	34.96	34.92	32.97	23.95	10.98	8.99	6.99	8.00
cwyM	early	31.01	17.99	6.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
iyhX	early	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ydbS	early	12.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gbgQ	middle	53.01	56.97	48.96	43.95	31.93	33.97	25.94	15.97	19.99	13.99	13.01
tmpQ	middle	436.08	556.73	615.55	671.23	719.39	676.31	685.45	686.90	617.63	577.58	533.30
unoL	middle	11.00	11.99	6.99	3.00	2.99	1.00	0.00	2.00	1.00	0.00	0.00
njiG	early	35.01	32.98	11.99	10.99	5.99	8.99	2.00	2.00	0.00	1.00	2.00
gylV	late	899.16	1281.38	1634.80	1861.86	2288.89	2483.46	2770.75	3225.84	3281.04	3662.31	3782.12
mdrI	early	81.01	77.96	61.95	38.96	27.94	20.98	14.97	5.99	5.00	6.00	1.00
hpoL	early	156.03	111.95	50.96	34.96	14.97	13.99	1.00	1.00	0.00	1.00	0.00
hrrP	early	65.01	43.98	31.98	18.98	10.98	8.99	2.99	1.00	4.00	2.00	1.00
ttiB	early	3.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
caqE	early	1581.28	996.52	567.58	295.66	185.59	84.91	50.89	30.95	15.99	2.00	2.00
rkdX	middle	89.02	117.94	119.91	115.87	119.73	98.90	75.83	74.88	65.96	59.96	48.03
pqmY	early	31.01	11.99	6.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
thaI	early	145.03	71.97	34.97	9.99	6.98	1.00	1.00	0.00	1.00	0.00	0.00
hhpB	early	53.01	46.98	27.98	24.97	9.98	5.99	6.98	7.99	9.99	3.00	1.00
vhdR	middle	9.00	14.99	10.99	8.99	11.97	9.99	7.98	8.99	8.99	6.99	8.00
fynL	middle	45.01	60.97	53.96	58.93	44.90	62.94	39.91	26.96	31.98	17.99	30.02
udoV	early	1129.20	728.65	372.73	206.76	91.80	61.94	27.94	14.98	4.00	3.00	2.00
ortJ	early	58.01	35.98	21.98	16.98	12.97	5.99	7.98	3.99	4.00	1.00	2.00
nywK	early	1081.19	925.56	747.45	620.29	457.98	330.66	227.49	140.77	105.94	68.95	45.03
nujL	middle	45.01	43.98	59.96	56.93	78.82	67.93	85.81	86.86	79.95	80.94	77.04
xiaK	early	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
izsS	early	370.07	358.83	333.76	287.67	272.39	210.78	213.52	147.76	109.93	102.92	80.04
asdG	early	19.00	15.99	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ypmK	early	9.00	7.00	2.00	4.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
wlsG	middle	156.03	220.89	287.79	312.64	335.25	378.61	407.08	425.32	434.74	442.67	439.25
npeN	early	1.00	0.00	1.00	1.00	0.00	1.00	0.00	1.00	0.00	1.00	0.00
hsuE	early	122.02	105.95	81.94	88.90	73.84	60.94	45.90	26.96	28.98	14.99	13.01
jrkI	middle	19.00	21.99	9.99	10.99	7.98	3.00	3.99	0.00	1.00	3.00	1.00
auiN	middle	114.02	160.92	162.88	166.81	169.62	188.81	193.56	187.70	162.90	172.87	151.08
lnqE	middle	4.00	15.99	8.99	13.98	9.98	5.99	12.97	5.99	12.99	10.99	10.01
dqvC	middle	17.00	28.99	27.98	27.97	14.97	23.98	19.96	13.98	13.99	4.00	9.01
knjG	middle	35.01	38.98	50.96	52.94	55.88	43.96	44.90	47.92	40.98	43.97	44.02
sneL	middle	132.02	132.94	187.86	141.84	149.67	187.81	136.69	127.80	128.92	146.89	117.07
tbdO	early	646.12	490.76	387.72	269.69	204.54	122.87	85.81	63.90	38.98	21.98	20.01
lhfO	early	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
vlwT	middle	57.01	76.96	54.96	44.95	55.88	24.97	22.95	16.97	20.99	10.99	8.00
mjqB	late	291.05	319.85	414.70	474.45	494.89	506.48	562.73	514.18	557.67	561.59	563.32
ublU	middle	543.10	582.72	605.56	670.23	697.44	675.31	631.58	555.11	547.67	465.66	466.26
lwiA	early	80.01	38.98	15.99	10.99	5.99	1.00	1.00	0.00	0.00	1.00	0.00
vprN	middle	45.01	59.97	54.96	51.94	65.85	50.95	51.88	47.92	36.98	27.98	42.02
yneT	early	36.01	27.99	29.98	18.98	7.98	7.99	2.99	3.99	2.00	1.00	0.00
efpV	early	425.08	398.81	363.73	252.71	214.52	177.82	132.70	89.86	60.96	42.97	38.02
hlzZ	early	98.02	36.98	10.99	8.99	2.00	1.00	1.00	0.00	0.00	0.00	0.00
zwpJ	early	59.01	49.98	56.96	43.95	43.90	34.96	37.91	22.96	17.99	18.99	15.01
ulfZ	early	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
jpoP	middle	513.09	577.72	618.55	698.20	653.54	645.34	613.62	572.08	549.67	504.63	458.26
jdwQ	early	447.08	393.81	421.69	421.51	357.20	301.69	278.37	264.58	214.87	211.84	140.08
ceoR	middle	17.00	24.99	22.98	26.97	30.93	20.98	23.95	18.97	17.99	22.98	12.01
afxC	early	233.04	195.91	163.88	128.85	81.82	71.93	40.91	42.93	18.99	18.99	17.01
nhnE	middle	248.04	285.86	321.76	355.59	369.18	373.62	373.16	389.38	321.81	378.72	286.16
hbiV	early	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rbaB	middle	72.01	93.95	97.93	96.89	106.76	94.90	95.78	83.87	84.95	99.93	102.06
yphK	early	827.15	470.77	241.82	137.84	81.82	30.97	15.96	4.99	4.00	2.00	1.00
mleJ	early	10.00	7.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
bvfD	early	125.02	72.96	36.97	16.98	9.98	9.99	2.00	1.00	0.00	0.00	0.00
rmdO	early	51.01	22.99	10.99	4.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00
iwcA	early	49.01	38.98	15.99	8.99	6.98	3.00	2.99	0.00	0.00	1.00	0.00
spbC	middle	110.02	122.94	104.92	120.86	101.77	86.91	75.83	74.88	84.95	62.95	51.03
btmL	early	36.01	6.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gvjF	middle	104.02	130.94	103.92	100.88	89.80	100.90	77.82	74.88	49.97	36.97	36.02
nivG	early	7.00	3.00	2.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
nlnH	early	87.02	69.97	34.97	18.98	13.97	3.00	1.00	4.99	1.00	0.00	0.00
rrpB	early	119.02	66.97	33.98	20.98	5.99	4.00	2.00	0.00	0.00	0.00	0.00
homR	middle	1830.33	1928.07	1952.57	1934.77	1761.07	1691.27	1422.79	1369.81	1211.28	973.28	860.48
ssyT	early	96.02	76.96	77.94	66.92	54.88	41.96	33.92	20.97	14.99	16.99	7.00
rtiD	middle	144.03	191.91	219.84	258.70	281.37	337.65	304.31	327.48	329.80	318.77	336.19
rnpW	early	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
vpqY	middle	1644.29	1880.10	1946.57	1930.78	1965.61	1758.20	1638.31	1530.55	1437.14	1268.07	1158.65
vjtY	early	62.01	34.98	12.99	9.99	4.99	1.00	0.00	0.00	0.00	0.00	0.00
bjcK	early	201.04	19.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
vlbF	early	55.01	30.99	30.98	13.98	12.97	5.99	2.99	5.99	4.00	2.00	2.00
gvrX	early	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ccvI	early	9.00	8.00	8.99	4.99	7.98	4.00	0.00	3.00	0.00	0.00	2.00
nkcY	early	5.00	4.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
qogC	early	9.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
iarF	middle	152.03	175.92	179.87	191.78	175.61	161.83	112.75	132.79	121.93	93.93	83.05
sxuH	middle	20.00	20.99	9.99	10.99	10.98	4.00	5.99	3.99	5.00	5.00	5.00
uypK	early	21.00	16.99	14.99	19.98	8.98	13.99	17.96	7.99	4.00	5.00	8.00
phsB	middle	8.00	9.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
crxR	middle	20.00	24.99	31.98	33.96	32.93	28.97	21.95	16.97	20.99	26.98	24.01
hqtA	late	146.03	183.91	189.86	236.73	272.39	278.72	316.29	316.49	304.82	299.78	344.19
vrdF	early	2.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
zoyY	early	29.01	22.99	15.99	11.99	8.98	11.99	4.99	5.99	3.00	2.00	0.00
hjyI	late	800.14	1160.44	1370.99	1720.02	1923.70	2073.88	2378.64	2623.80	2785.33	2997.80	3289.85
dvoZ	early	186.03	130.94	106.92	77.91	52.88	38.96	17.96	17.97	15.99	6.99	3.00
qkaN	early	15.00	10.99	10.99	5.99	1.00	4.00	1.00	0.00	0.00	0.00	0.00
jmbN	middle	5.00	9.00	15.99	16.98	7.98	6.99	7.98	4.99	4.00	3.00	6.00
ejgP	early	1888.34	1417.32	1002.26	661.24	455.98	285.71	181.59	111.82	77.95	38.97	30.02
nkkP	middle	0.00	10.00	6.00	9.99	3.99	9.99	7.98	3.99	2.00	3.00	4.00
dkuV	middle	170.03	215.90	298.78	346.60	379.15	413.58	437.01	467.25	466.72	544.60	543.30
dlqR	early	140.03	131.94	129.90	116.87	74.83	61.94	48.89	47.92	30.98	27.98	12.01
qmhI	middle	357.06	396.81	361.73	347.60	295.34	261.73	206.53	195.69	153.91	138.90	108.06
ufoR	early	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hokO	early	215.04	181.91	164.88	138.84	84.81	71.93	52.88	43.93	24.99	14.99	20.01
laoU	early	40.01	17.99	9.99	4.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
yjwK	middle	222.04	240.88	245.82	219.75	189.58	164.83	161.64	124.80	116.93	89.93	58.03
rqbS	early	109.02	87.96	94.93	72.92	64.86	54.94	42.90	30.95	27.98	23.98	10.01
tiwK	early	151.03	143.93	127.91	92.89	90.80	73.92	60.86	47.92	34.98	24.98	16.01
uesX	early	262.05	214.90	196.86	167.81	152.66	99.90	88.80	72.88	47.97	32.98	37.02
iadY	early	545.10	475.77	389.71	320.63	208.53	146.85	98.78	69.89	58.96	35.97	33.02
mghT	early	65.01	46.98	30.98	19.98	10.98	2.00	2.99	2.00	0.00	2.00	0.00
giyV	middle	48.01	51.98	52.96	50.94	38.91	53.94	36.92	51.92	54.97	33.98	30.02
zcmJ	early	30.01	20.99	7.99	7.99	5.99	0.00	0.00	0.00	0.00	0.00	0.00
emoU	middle	30.01	50.98	61.95	57.93	45.90	50.95	38.91	33.95	34.98	33.98	30.02
ygpX	early	124.02	76.96	32.98	11.99	11.97	6.99	2.00	0.00	1.00	0.00	0.00
eirD	early	11.00	6.00	4.00	4.99	1.00	0.00	0.00	0.00	1.00	0.00	0.00
ssvT	early	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
jslH	early	424.08	188.91	104.92	41.95	15.96	6.99	2.00	0.00	1.00	1.00	0.00
avgS	early	14.00	8.00	4.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	1.00
fbeI	middle	349.06	451.78	546.60	631.27	667.51	685.30	720.38	774.76	814.51	874.36	864.48
ggcB	early	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ousL	early	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
kutI	early	53.01	16.99	6.00	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
arkW	middle	53.01	55.97	71.95	59.93	61.86	39.96	51.88	42.93	28.98	19.99	29.02
ferM	late	390.07	505.76	631.54	787.09	908.97	983.99	1138.43	1155.15	1296.22	1423.95	1451.81
jxtE	middle	5.00	6.00	4.00	1.00	3.99	2.00	2.00	3.99	0.00	0.00	1.00
loyG	early	33.01	10.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
uxmI	early	283.05	183.91	105.92	81.91	48.89	40.96	18.96	7.99	8.00	6.00	2.00
ftwC	early	24.00	18.99	8.99	8.99	5.99	1.00	0.00	1.00	0.00	0.00	0.00
iomE	early	49.01	21.99	20.98	12.99	4.99	2.00	1.00	2.00	0.00	0.00	0.00
wwrR	early	28.01	22.99	12.99	9.99	5.99	1.00	0.00	3.99	0.00	0.00	0.00
hrvX	early	16.00	5.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hglE	early	55.01	23.99	24.98	10.99	8.98	1.00	0.00	0.00	0.00	0.00	0.00
ppfH	early	90.02	35.98	16.99	4.99	1.00	1.00	1.00	0.00	0.00	0.00	0.00
vcnL	early	44.01	31.98	26.98	24.97	13.97	11.99	4.99	4.99	1.00	2.00	2.00
ffxN	early	160.03	132.94	91.93	86.90	47.89	38.96	27.94	15.97	9.99	8.99	7.00
oitY	early	538.10	247.88	165.88	73.91	34.92	21.98	2.00	4.99	3.00	1.00	0.00
coqC	early	1174.21	1130.46	958.30	823.05	655.54	421.57	369.17	281.55	211.87	160.88	139.08
wmkE	early	12.00	11.99	6.99	5.99	5.99	9.99	3.99	3.00	5.00	2.00	2.00
judL	early	4458.80	2661.72	1411.96	724.17	375.16	192.80	89.80	51.92	18.99	5.00	6.00
gduD	middle	45.01	49.98	52.96	68.92	59.87	49.95	49.89	66.89	40.98	42.97	59.03
psoQ	early	212.04	59.97	13.99	3.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
hyzA	middle	25.00	26.99	29.98	22.97	13.97	23.98	18.96	18.97	5.00	10.99	15.01
ydbG	early	21.00	18.99	13.99	16.98	5.99	5.99	1.00	3.00	2.00	1.00	1.00
ipoZ	middle	70.01	79.96	82.94	79.91	96.78	80.92	108.75	100.84	82.95	83.94	84.05
qcmR	early	127.02	75.96	40.97	26.97	19.96	8.99	1.00	3.99	2.00	0.00	0.00
idmM	early	79.01	21.99	3.00	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
kufG	middle	145.03	123.94	146.89	120.86	105.76	81.92	78.82	64.90	53.97	38.97	34.02
ndgU	late	459.08	600.71	749.45	874.99	981.81	1103.87	1238.21	1238.02	1398.16	1478.91	1556.87
vkaT	early	1904.34	1753.16	1421.96	1109.72	832.14	624.36	505.86	362.42	292.82	169.88	152.09
kajS	middle	103.02	128.94	167.88	161.81	174.61	204.79	209.53	205.67	169.90	191.86	192.11
pblP	early	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hslM	early	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
zfaT	early	53.01	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
wmoH	middle	38.01	42.98	25.98	13.98	7.98	5.99	5.99	1.00	1.00	0.00	1.00
hxtT	early	37.01	29.99	17.99	8.99	5.99	4.00	2.00	2.00	1.00	0.00	1.00
kgyH	early	637.11	308.85	158.88	50.94	17.96	8.99	7.98	2.00	2.00	0.00	1.00
wtnK	early	21.00	17.99	10.99	2.00	4.99	0.00	2.99	1.00	0.00	0.00	0.00
kupE	middle	124.02	133.94	128.91	109.87	100.77	98.90	82.81	84.86	72.96	60.96	65.04
sldO	early	10.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lxxY	early	32.01	15.99	3.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
aalG	early	72.01	22.99	9.99	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
luiI	early	6.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
jrcB	early	7.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
vykG	early	10.00	8.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mlvC	early	30.01	19.99	3.00	0.00	2.00	0.00	1.00	0.00	1.00	0.00	0.00
pmmM	early	17.00	9.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
gntV	early	172.03	128.94	88.93	48.94	30.93	17.98	16.96	8.99	4.00	4.00	2.00
